Age,DailyRate,DistanceFromHome,Education,JobLevel,JobSatisfaction,MonthlyIncome,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,Attrition
28,1434,5,4,1,3,3441,2,2,2,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Single,Yes,Yes
44,1488,1,5,2,1,5454,2,4,3,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,Yes,No
35,1097,11,2,3,1,9884,3,4,0,Non-Travel,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,No
26,1443,23,3,2,4,4157,2,2,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,No
33,515,1,2,3,4,13458,3,15,14,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Single,Yes,No
35,853,18,5,3,1,9069,2,9,8,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,No,No
35,1142,23,4,1,1,4014,3,2,2,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Married,Yes,No
31,655,7,4,2,4,5915,2,7,7,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,No
37,1115,1,4,2,3,5993,4,7,5,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,No,No
32,427,1,3,2,4,6162,3,9,8,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,Yes,No
38,653,29,5,2,4,2406,3,10,3,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,No
50,989,7,2,5,3,18740,2,27,3,Travel_Rarely,Research & Development,Medical,Female,Research Director,Divorced,Yes,No
59,1435,25,3,3,1,7637,2,21,16,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,No
36,1223,8,3,3,3,10096,3,17,14,Travel_Rarely,Research & Development,Technical Degree,Female,Healthcare Representative,Divorced,No,No
55,836,8,3,4,3,14756,3,5,0,Travel_Rarely,Research & Development,Medical,Female,Manager,Divorced,Yes,No
36,1195,11,3,2,2,6499,3,6,5,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,No
45,1339,7,3,3,1,9724,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
35,664,1,3,1,1,2194,2,3,2,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Married,No,No
36,318,9,3,1,3,3388,2,1,0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,Yes
59,1225,1,1,2,3,5473,2,4,3,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,No,No
29,1328,2,3,1,2,2703,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
31,1082,1,4,1,2,2501,3,1,1,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,No
32,548,1,3,2,2,6220,3,10,4,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
36,132,6,3,1,4,3038,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,No
31,746,8,4,2,4,4424,3,11,7,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Single,No,No
35,776,1,4,2,1,4312,3,15,13,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,No,No
45,193,6,4,3,1,13245,4,0,0,Travel_Rarely,Research & Development,Other,Male,Research Director,Married,Yes,No
37,397,7,4,3,3,13664,4,5,2,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,No,No
46,945,5,2,2,2,5021,3,4,2,Travel_Rarely,Human Resources,Medical,Male,Human Resources,Divorced,Yes,No
30,852,1,1,2,4,5126,2,10,8,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,Yes,No
35,1214,1,3,1,3,2859,3,6,4,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,No
55,111,1,2,3,4,10239,3,1,0,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,No
38,573,6,3,2,4,5329,3,13,11,Non-Travel,Research & Development,Medical,Female,Research Scientist,Divorced,Yes,No
34,1153,1,2,2,2,4325,3,5,2,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,No,No
56,1400,7,3,3,4,7260,2,6,4,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,No
23,541,2,1,1,1,2322,3,0,0,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Divorced,No,No
51,432,9,4,1,4,2075,3,4,2,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
30,288,2,3,2,4,4152,3,11,10,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,No
46,669,9,2,3,4,9619,3,9,8,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,Yes
40,530,1,4,4,2,13503,2,22,3,Travel_Frequently,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,No
51,632,21,4,2,4,5441,1,10,7,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,No
30,1334,4,2,2,2,5209,2,11,8,Travel_Rarely,Sales,Medical,Female,Sales Executive,Divorced,Yes,No
46,638,1,3,3,1,10673,2,10,9,Travel_Frequently,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,No
32,1093,6,4,2,3,5010,3,11,8,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,No
54,1217,2,4,3,3,13549,1,4,3,Travel_Rarely,Research & Development,Technical Degree,Female,Research Director,Married,No,No
24,1353,3,2,2,3,4999,2,3,2,Travel_Rarely,Sales,Other,Female,Sales Executive,Married,No,No
28,120,4,3,2,3,4221,4,5,4,Non-Travel,Sales,Medical,Male,Sales Executive,Married,No,No
58,682,10,4,4,3,13872,2,37,10,Travel_Rarely,Sales,Medical,Male,Sales Executive,Single,No,No
44,489,23,3,2,2,2042,4,3,2,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Married,No,No
37,807,6,4,1,1,2073,3,3,2,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Divorced,Yes,Yes
32,827,1,1,1,1,2956,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,No
20,871,6,3,1,4,2926,3,1,0,Travel_Frequently,Research & Development,Life Sciences,Female,Laboratory Technician,Single,Yes,Yes
34,665,6,4,2,3,4809,3,16,13,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Single,No,No
37,1040,2,2,2,4,5163,4,1,0,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,No
59,1420,2,4,5,4,18844,3,3,2,Non-Travel,Human Resources,Human Resources,Female,Manager,Married,No,No
50,1115,1,3,5,2,18172,2,8,3,Travel_Frequently,Research & Development,Life Sciences,Female,Research Director,Married,Yes,No
25,240,5,3,2,3,5744,3,6,4,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,Yes
25,1280,7,1,1,4,2889,3,2,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,No
22,534,15,3,1,4,2871,3,0,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,No,No
51,1456,1,4,3,1,7484,2,13,12,Travel_Frequently,Research & Development,Medical,Female,Healthcare Representative,Single,No,No
34,658,7,3,2,3,6074,3,9,7,Travel_Frequently,Research & Development,Life Sciences,Male,Laboratory Technician,Single,Yes,Yes
54,142,26,3,4,4,17328,3,5,3,Non-Travel,Human Resources,Human Resources,Female,Manager,Single,Yes,No
24,1127,18,1,1,3,2774,3,5,3,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
34,1031,6,4,2,2,4505,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,No,No
37,1189,3,3,3,4,7428,3,5,3,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,No,No
34,1354,5,3,3,1,11631,3,11,10,Travel_Rarely,Research & Development,Medical,Female,Manager,Single,No,No
36,1467,11,2,3,4,9738,3,9,7,Travel_Frequently,Sales,Technical Degree,Female,Sales Executive,Married,No,No
36,922,3,2,1,4,2835,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Divorced,No,No
43,394,26,2,4,4,16959,4,25,12,Travel_Frequently,Sales,Life Sciences,Male,Manager,Married,Yes,No
30,1312,23,3,1,3,2613,2,10,7,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
33,750,22,2,2,2,6146,4,7,7,Non-Travel,Sales,Marketing,Male,Sales Executive,Married,No,No
56,441,14,4,1,2,4963,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Married,Yes,Yes
51,684,6,3,5,3,19537,3,20,18,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Single,No,No
31,249,6,4,2,3,6172,2,7,7,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,Yes,Yes
26,841,6,3,1,2,2368,2,5,4,Travel_Rarely,Research & Development,Other,Female,Research Scientist,Married,No,No
58,147,23,4,3,4,10312,2,40,10,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Married,No,Yes
19,528,22,1,1,3,1675,2,0,0,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Single,Yes,Yes
22,594,2,1,1,4,2523,3,2,1,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,No,No
49,470,20,4,2,1,6567,2,15,11,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Married,No,No
43,957,28,3,1,3,4739,3,3,2,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Single,No,No
50,809,12,3,3,4,9208,3,2,2,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,No
31,542,20,3,2,3,4559,3,2,2,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,Yes,Yes
41,802,9,1,3,3,8189,3,9,7,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,Yes,No
26,1355,25,1,1,3,2942,3,8,7,Travel_Rarely,Human Resources,Life Sciences,Female,Human Resources,Married,No,No
36,216,6,2,2,2,4941,3,3,2,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Divorced,No,No
51,1150,8,4,3,4,10650,3,4,2,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,Yes
39,1329,4,4,2,3,5902,4,15,11,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,No
25,959,28,3,2,3,8639,3,2,2,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,No
30,1240,9,3,2,4,6347,1,11,9,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,Yes,No
32,1033,9,3,1,1,4200,4,5,4,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,No,Yes
45,1316,29,3,1,4,3452,2,6,5,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,No
38,364,3,5,2,3,4317,3,3,2,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,Yes,No
30,438,18,3,1,3,2632,2,5,4,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,No,No
32,689,9,2,2,4,4668,4,8,7,Travel_Frequently,Sales,Medical,Male,Sales Executive,Divorced,No,No
30,201,5,3,1,1,3204,3,3,2,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Divorced,No,No
30,1427,2,1,1,4,2720,3,5,3,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,No,No
41,857,10,3,4,1,17181,2,7,6,Travel_Frequently,Research & Development,Life Sciences,Male,Manager,Divorced,No,No
41,933,9,4,1,1,2238,3,5,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Married,No,No
19,1181,3,1,1,2,1483,3,1,0,Travel_Rarely,Research & Development,Medical,Female,Laboratory Technician,Single,No,No
40,1395,26,3,2,2,5605,3,20,7,Travel_Frequently,Research & Development,Medical,Female,Research Scientist,Divorced,No,No
35,662,1,5,3,2,7295,3,10,8,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,No
53,1436,6,2,2,3,2306,1,7,7,Travel_Rarely,Sales,Marketing,Male,Sales Representative,Married,Yes,No
45,194,9,3,2,2,2348,1,17,9,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,No
32,967,8,3,3,4,8998,3,9,8,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,No
29,1496,1,1,2,3,4319,3,10,7,Non-Travel,Research & Development,Technical Degree,Male,Manufacturing Director,Married,No,No
51,1169,7,4,2,3,6132,3,1,0,Travel_Rarely,Research & Development,Medical,Male,Manufacturing Director,Married,No,No
58,1145,9,3,1,2,3346,2,1,0,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Yes,No
40,630,4,4,3,4,10855,2,12,11,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,No
34,303,2,4,1,3,2231,3,4,3,Travel_Frequently,Sales,Marketing,Female,Sales Representative,Married,No,No
22,1256,19,1,1,4,2323,3,2,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,No
27,691,9,3,1,2,2024,1,2,2,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,No,No
28,440,21,3,1,4,2713,1,5,2,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,No
57,334,24,2,3,4,9439,1,5,3,Travel_Rarely,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,Yes,No
27,1450,3,3,1,3,2566,2,1,1,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,No
50,1452,11,3,5,2,19926,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Female,Manager,Single,No,No
41,465,14,3,1,3,2451,3,9,8,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,No
30,1339,5,3,3,4,9419,3,10,9,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Married,No,No
38,702,1,4,2,4,8686,4,8,3,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,No,No
32,120,6,5,1,3,3038,3,5,4,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,No
27,1157,17,3,1,2,3058,2,5,2,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,Yes,No
19,602,1,1,1,1,2325,4,0,0,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,No,Yes
36,1480,3,2,1,2,2088,2,8,7,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,No,No
30,111,9,3,2,1,3072,3,12,9,Non-Travel,Research & Development,Medical,Male,Laboratory Technician,Divorced,No,No
45,1268,4,2,2,1,5006,4,5,4,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Divorced,Yes,No
56,713,8,3,1,1,4257,3,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Divorced,Yes,No
33,134,2,3,1,4,2500,4,3,1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Single,No,No
19,303,2,3,1,4,1102,2,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,Yes
46,526,1,2,3,1,10453,3,24,13,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Divorced,No,No
38,1380,9,2,1,4,2288,3,2,2,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Single,No,No
31,140,12,1,1,4,3929,3,4,2,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,Yes,No
34,629,27,2,1,2,2311,3,3,2,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,No,No
41,1356,20,2,1,2,3140,2,4,3,Travel_Rarely,Sales,Marketing,Female,Sales Representative,Single,Yes,Yes
50,328,1,3,1,3,3690,2,3,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,No
53,1084,13,2,2,1,4450,3,4,2,Travel_Rarely,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,No
33,931,14,3,1,2,2756,3,8,7,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,No
40,989,4,1,5,3,19033,3,20,8,Travel_Rarely,Research & Development,Medical,Female,Manager,Married,No,No
55,692,14,4,5,2,18722,3,24,15,Travel_Rarely,Research & Development,Medical,Male,Research Director,Single,No,No
34,1069,2,1,2,3,9547,2,10,9,Travel_Frequently,Research & Development,Life Sciences,Male,Manufacturing Director,Married,No,No
51,313,3,3,4,2,13734,3,7,7,Travel_Rarely,Research & Development,Medical,Female,Healthcare Representative,Single,No,No
52,699,1,4,5,3,19999,3,33,18,Travel_Rarely,Research & Development,Life Sciences,Male,Manager,Married,No,No
27,894,9,3,1,2,2279,2,7,7,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,No,No
35,556,23,2,2,3,5916,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,Yes,Yes
43,1344,7,3,1,4,2089,4,5,4,Non-Travel,Research & Development,Medical,Male,Research Scientist,Divorced,No,No
45,1195,2,2,4,4,16792,3,20,8,Non-Travel,Research & Development,Medical,Male,Manager,Married,No,No
37,290,21,3,1,1,3564,2,8,7,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,Yes,No
35,138,2,3,2,2,4425,3,6,2,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,No,No
42,926,21,2,2,3,5265,3,5,3,Non-Travel,Research & Development,Medical,Female,Manufacturing Director,Divorced,No,No
38,1261,2,4,2,3,6553,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Manufacturing Director,Married,No,No
38,1084,29,3,2,4,6261,1,7,7,Travel_Rarely,Research & Development,Technical Degree,Male,Manufacturing Director,Married,No,No
27,472,1,1,2,1,4298,3,2,2,Travel_Frequently,Research & Development,Technical Degree,Male,Manufacturing Director,Married,No,No
49,1002,18,4,2,4,6804,3,7,7,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Divorced,Yes,No
34,878,10,4,1,3,3815,4,5,3,Travel_Frequently,Research & Development,Medical,Male,Research Scientist,Divorced,Yes,No
40,905,19,2,2,4,2741,4,7,2,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,Yes,No
38,1180,29,1,2,1,6673,3,1,0,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Married,Yes,Yes
29,121,27,3,3,4,7639,2,10,4,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,Yes
22,1136,5,3,1,2,2328,2,4,2,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,Yes,No
36,635,18,1,1,4,2153,3,8,1,Travel_Frequently,Research & Development,Medical,Female,Laboratory Technician,Single,No,No
40,1151,9,5,2,4,4876,1,3,2,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Married,No,No
46,644,1,4,3,1,9396,3,4,2,Travel_Rarely,Research & Development,Medical,Male,Healthcare Representative,Divorced,No,No
32,1045,4,4,3,4,10400,2,14,8,Travel_Rarely,Sales,Medical,Male,Sales Executive,Married,No,Yes
30,829,1,1,3,3,8474,3,11,8,Non-Travel,Research & Development,Life Sciences,Male,Manufacturing Director,Single,No,No
27,1242,20,3,2,3,9981,3,7,7,Travel_Frequently,Sales,Life Sciences,Female,Sales Executive,Single,No,No
51,1469,8,4,3,2,12490,1,10,9,Travel_Rarely,Research & Development,Life Sciences,Male,Research Director,Married,No,No
30,1005,3,3,1,1,2657,3,5,2,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,Yes,Yes
41,896,6,3,3,4,13591,3,1,0,Travel_Rarely,Sales,Life Sciences,Female,Manager,Single,Yes,No
30,334,26,4,2,1,6696,2,6,3,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,Yes
29,992,1,3,1,3,2058,2,6,2,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,No,Yes
45,1052,6,3,3,4,8865,3,19,7,Non-Travel,Sales,Medical,Female,Sales Executive,Single,No,No
54,1147,3,3,2,1,5940,3,6,2,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,No,No
36,1396,5,2,2,2,5914,4,13,11,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,No
33,147,4,4,1,2,2622,3,3,2,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Married,No,No
37,663,11,3,3,4,12185,3,10,8,Travel_Frequently,Research & Development,Other,Male,Research Director,Divorced,Yes,No
38,119,3,3,3,3,10609,2,16,10,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Divorced,No,No
31,979,1,4,2,3,4345,3,5,4,Non-Travel,Research & Development,Medical,Male,Manufacturing Director,Married,No,No
59,142,3,3,1,4,2177,3,1,0,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,No
37,319,4,4,1,4,2793,3,9,8,Travel_Frequently,Sales,Marketing,Male,Sales Representative,Divorced,No,No
29,1413,1,1,3,4,7918,3,11,10,Travel_Frequently,Sales,Medical,Female,Sales Executive,Married,No,No
35,944,1,3,3,3,8789,4,10,7,Travel_Frequently,Sales,Marketing,Female,Sales Executive,Single,No,No
